geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05168	Herpes simplex infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05168+23586+3133+3434+3665+6352+6772+6773+836+9641	185	9	1.0686287993398433	8.422007722007722	7.94762910372171e-7	2.1212964725814132e-4	23586;3133;3434;3665;6352;6772;6773;836;9641	STAT1;CCL5;CASP3;IRF7;HLA-E;DDX58;IKBKE;STAT2;IFIT1
hsa05161	Hepatitis B	http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+23586+3665+4089+5579+6772+6773+836+9641	144	8	0.8317975519185807	9.617724867724867	1.3014088788843026e-6	2.1212964725814132e-4	23586;3665;4089;5579;6772;6773;836;9641	STAT1;CASP3;IRF7;SMAD4;DDX58;IKBKE;STAT2;PRKCB
hsa05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+23586+3133+3665+4067+6772+6773+836+9641	201	8	1.161050749553019	6.89031035299692	1.560959631130565e-5	0.0015736780870267975	23586;3133;3665;4067;6772;6773;836;9641	STAT1;LYN;CASP3;IRF7;HLA-E;DDX58;IKBKE;STAT2
hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+2335+4089+5579+6772+7056+836	99	6	0.5718608169440242	10.492063492063492	1.930893358315089e-5	0.0015736780870267975	2335;4089;5579;6772;7056;836	STAT1;FN1;THBD;CASP3;SMAD4;PRKCB
hsa04623	Cytosolic DNA-sensing pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04623+23586+3665+5437+6352+9641	63	5	0.36391142896437906	13.739606953892668	2.7628370569909855e-5	0.0018013697611581226	23586;3665;5437;6352;9641	CCL5;IRF7;POLR2H;DDX58;IKBKE
hsa05164	Influenza A	http://www.kegg.jp/kegg-bin/show_pathway?hsa05164+23586+3665+5579+6352+6772+6773+9641	171	7	0.9877595929033146	7.086744639376218	4.741105731076445e-5	0.002576000780551535	23586;3665;5579;6352;6772;6773;9641	STAT1;CCL5;IRF7;DDX58;IKBKE;STAT2;PRKCB
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+3133+3665+4067+6772+6773+836+9641	186	7	1.0744051712281668	6.515232974910393	8.093780777074233e-5	0.0037693893333231427	3133;3665;4067;6772;6773;836;9641	STAT1;LYN;CASP3;IRF7;HLA-E;IKBKE;STAT2
hsa05160	Hepatitis C	http://www.kegg.jp/kegg-bin/show_pathway?hsa05160+23586+3434+3665+6772+6773+9641	131	6	0.7567047173703755	7.929116684841875	9.394453265154645e-5	0.003828239705550518	23586;3434;3665;6772;6773;9641	STAT1;IRF7;DDX58;IKBKE;STAT2;IFIT1
hsa04621	NOD-like receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04621+3320+3665+6352+6772+6773+9641	168	6	0.9704304772383442	6.1828231292517	3.6618583351410994e-4	0.01326406463617776	3320;3665;6352;6772;6773;9641	STAT1;CCL5;IRF7;HSP90AA1;IKBKE;STAT2
hsa04062	Chemokine signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04062+4067+5196+5579+6352+6772+6773	189	6	1.0917342868931372	5.495842781557067	6.855632483213636e-4	0.022349361895276455	4067;5196;5579;6352;6772;6773	STAT1;LYN;CCL5;PF4;STAT2;PRKCB
